state,region,region_large,year,population,violent_crime_per100K,murder_per100K,rape_per100K,robbery_per100K,agg_assault_per100K
Connecticut,northeast,northeast,2019,3565287.00,183.6,2.9,21.6,54.1,105
Maine,northeast,northeast,2019,1344212.00,115.2,1.5,38.4,14,61.3
Massachusetts,northeast,northeast,2019,6892503.00,327.6,2.2,32,52.4,241
New Hampshire,northeast,northeast,2019,1359711.00,152.5,2.4,43.4,23,83.7
Rhode Island,northeast,northeast,2019,1059361.00,221.1,2.4,46.3,39.5,132.9
Vermont,northeast,northeast,2019,623989.00,202.2,1.8,44.6,11.4,144.6
New Jersey,midatlantic,northeast,2019,8882190.00,206.9,2.9,17.2,64.5,122.2
New York,midatlantic,northeast,2019,19453561.00,358.6,2.9,33.8,92.9,229
Pennsylvania,midatlantic,northeast,2019,12801989.00,306.4,5.2,34,76.1,191.1
Illinois,east north central,north central,2019,12671821.00,406.9,6.6,48,98.4,254
Indiana,east north central,north central,2019,6732219.00,370.8,5.6,36.8,79.2,249.3
Michigan,east north central,north central,2019,9986857.00,437.4,5.6,72.4,53.6,305.9
Ohio,east north central,north central,2019,11689100.00,293.2,4.6,49,75.7,163.9
Wisconsin,east north central,north central,2019,5822434.00,293.2,3,38.8,51.4,200
Iowa,west north central,north central,2019,3155070.00,266.6,1.9,36.9,27.4,200.4
Kansas,west north central,north central,2019,2913314.00,410.8,3.6,48.6,44.4,314.2
Minnesota,west north central,north central,2019,5639632.00,236.4,2.1,43.4,55.8,135.1
Missouri,west north central,north central,2019,6137428.00,495,9.3,47.5,80.8,357.4
Nebraska,west north central,north central,2019,1934408.00,300.9,2.3,64.8,40.9,192.9
North Dakota,west north central,north central,2019,762062.00,284.6,3.1,57.3,23.5,200.6
South Dakota,west north central,north central,2019,884659.00,399,1.9,72.6,22,302.5
Delaware,south atlantic,southeast,2019,973764.00,422.6,4.9,31.8,81.1,304.7
District of Columbia,south atlantic,southeast,2019,705749.00,NA,23.5,48.9,384.4,592.1
Florida,south atlantic,southeast,2019,21477737.00,378.4,5.2,39.4,75.5,258.3
Georgia,south atlantic,southeast,2019,10617423.00,340.7,6.2,27.5,75,232
Maryland,south atlantic,southeast,2019,6045680.00,454.1,9,31.6,152.2,261.3
North Carolina,south atlantic,southeast,2019,10488084.00,371.8,6,31,72.5,262.4
South Carolina,south atlantic,southeast,2019,5148714.00,511.3,9,47.8,64,390.5
Virginia,south atlantic,southeast,2019,8535519.00,208,5,33,41.3,128.7
West Virginia,south atlantic,southeast,2019,1792147.00,316.6,4.4,42.1,21.1,249.1
Alabama,east south central,south central,2019,4903185.00,510.8,7.3,42.2,80.4,381
Kentucky,east south central,south central,2019,4467673.00,217.1,4.9,35.2,48.4,128.6
Mississippi,east south central,south central,2019,2976149.00,277.9,11.2,25.1,57.1,184.6
Tennessee,east south central,south central,2019,6829174.00,595.2,7.3,41.2,90.1,456.7
Arkansas,west south central,south central,2019,3017804.00,584.6,8,77.2,51.6,447.8
Louisiana,west south central,south central,2019,4648794.00,549.3,11.7,48.9,86.6,402.1
Oklahoma,west south central,south central,2019,3956971.00,431.8,6.7,57.3,59.9,307.9
Texas,west south central,south central,2019,28995881.00,418.9,4.9,51.1,100,263
Arizona,mountain,mountain,2019,7278717.00,455.3,5,50.3,88.1,311.9
Colorado,mountain,mountain,2019,5758736.00,381,3.8,67.2,63.6,246.3
Idaho,mountain,mountain,2019,1787065.00,223.8,2,45.3,8.7,167.9
Montana,mountain,mountain,2019,1068778.00,404.9,2.5,58.4,19.2,324.9
Nevada,mountain,mountain,2019,3080156.00,493.8,4.6,70.2,106.7,312.3
New Mexico,mountain,mountain,2019,2096829.00,832.2,8.6,61.4,111.6,650.5
Utah,mountain,mountain,2019,3205958.00,235.6,2.2,56.8,35.1,141.4
Wyoming,mountain,mountain,2019,578759.00,217.4,2.2,56,11.6,147.6
Alaska,pacific,pacific,2019,731545.00,867.1,9.4,148.7,112.9,596
California,pacific,pacific,2019,39512223.00,441.2,4.3,37.5,132.4,267.1
Hawaii,pacific,pacific,2019,1415872.00,285.5,3.4,54,79.9,148.2
Oregon,pacific,pacific,2019,4217737.00,284.4,2.8,42.2,54,185.5
Washington,pacific,pacific,2019,7614893.00,293.9,2.6,43.8,67.6,179.9
Puerto Rico,south atlantic,southeast,2019,3193694.00,202.9,19,6.7,66.4,110.7
